UPC,IMDB
012569100725,tt0070047
012569101326,tt0078346
012569101821,tt0074119
012569101920,tt0066999
012569102323,tt0076009
012569102422,tt0072890
012569102927,tt0062765
012569104020,tt0066832
012569200227,tt0078721
012569200524,tt0080487
012569250826,tt0118548
012569301214,tt0792966
012569403024,tt0470765
012569404526,tt0499516
012569407923,tt0099685
012569408029,tt0113277
012569408128,tt0108399
012569416024,tt0318641
012569421424,tt0335438
012569423121,tt0088583
012569431829,tt0364045
012569431928,tt0212346
012569432123,tt0103776
012569432529,tt0043153
012569440821,tt0327247
012569450622,tt0066434
012569450721,tt0331632
012569455528,tt0108778
012569457720,tt0111868
012569457829,tt0412366
012569457928,tt0412366
012569468023,tt0087322
012569471924,tt0108757
012569474727,tt0088583
012569475328,tt0362359
012569491625,"tt0331632,tt0267913"
012569493926,tt0379380
012569494121,tt0337945
012569494329,tt0390450
012569500020,tt0062622
012569500426,tt0056193
012569500822,tt0034583
012569500921,tt0031381
012569501027,tt0040506
012569501225,tt0033870
012569501621,tt0053125
012569501720,tt0032904
012569502024,tt0045152
012569502529,tt0036613
012569502628,tt0038355
012569502925,tt0031210
012569503120,tt0035140
012569504622,tt0077355
012569504820,tt0076095
012569505124,tt0067741
012569505223,tt0070723
012569505322,tt0086837
012569505520,tt0041090
012569505728,tt0085271
012569505926,tt0049223
012569506022,tt0051658
012569506121,tt0050556
012569506220,tt0074812
012569506329,tt0037120
012569506428,tt0084516
012569506527,tt0047472
012569506626,tt0038160
012569506725,tt0070909
012569506824,tt0086617
012569506923,tt0043278
012569507524,tt0051459
012569507722,tt0083833
012569507920,tt0061578
012569508224,tt0042451
012569508521,tt0056085
012569508828,tt0045963
012569509023,tt0056264
012569509122,tt0074958
012569509627,tt0058725
012569509726,tt0035567
012569512320,tt0032138
012569512429,tt0027698
012569512726,tt0055047
012569513129,tt0029843
012569513723,tt0082186
012569514126,tt0061595
012569514225,tt0040308
012569514522,tt0080716
012569515222,tt0059255
012569515420,tt0044760
012569515628,tt0065938
012569515925,tt0024264
012569516021,tt0041594
012569516427,tt0045012
012569517820,tt0061015
012569518223,tt0040064
012569518629,tt0065207
012569519121,tt0022913
012569519626,tt0035093
012569519824,tt0069257
012569519923,tt0086373
012569520325,tt0084865
012569520622,tt0039111
012569521223,tt0032138
012569522329,tt0033717
012569522626,tt0028096
012569524729,tt0088889
012569524828,tt0063121
012569530225,tt0070679
012569550629,tt0052618
012569553927,tt0062622
012569554122,tt0056193
012569557123,tt0059113
012569562127,tt0045152
012569568129,tt0034583
012569571327,tt0049314
012569572423,tt0036098
012569575127,tt0053571
012569575325,tt0041923
012569584327,tt0037382
012569585577,tt0446755
012569586710,tt0373469
012569589919,tt0395565
012569589957,tt0414848
012569589971,tt0420075
012569589988,tt0420683
012569590533,tt0238784
012569590564,tt0238784
012569591424,tt0026174
012569591677,tt0078607
012569591721,tt0031381
012569592223,tt0046085
012569592421,tt0082894
012569592629,tt0047472
012569592681,tt0359423
012569592728,tt0083170
012569592858,tt0327554
012569592926,tt0075323
012569593022,tt0111408
012569593220,tt0405159
012569593237,tt0405159
012569593251,tt0373889
012569593268,tt0373889
012569593305,tt0385307
012569593312,tt0385307
012569593336,tt0403508
012569593343,tt0403508
012569593367,tt0367594
012569593374,tt0367594
012569593398,tt0395972
012569593404,tt0395972
012569593428,tt0404030
012569593442,tt0417001
012569593459,tt0417001
012569593503,tt0121164
012569593510,tt0121164
012569593619,tt0238784
012569593770,tt0108757
012569593794,tt0108778
012569593879,tt0330373
012569593886,tt0330373
012569594098,tt0408345
012569594104,tt0408345
012569594142,tt0372784
012569594159,tt0372784
012569594173,tt0405296
012569594302,tt0321018
012569594364,tt0238784
012569594746,tt0115378
012569595095,tt0383393
012569596450,tt0094514
012569596498,tt0107096
012569596788,tt0406728
012569598270,"tt0331632,tt0267913"
012569599130,tt0108757
012569599536,tt0204313
012569599932,tt0257568
012569645684,tt0420347
012569647244,tt0412639
012569647473,tt0048705
012569647510,tt0084516
012569647640,tt0070723
012569648449,tt0040271
012569648661,tt0056193
012569659087,tt0038160
012569670990,tt0053125
012569672246,tt0068795
012569672253,tt0042646
012569673724,tt0032138
012569673755,tt0052618
012569675247,tt0061578
012569675254,tt0065207
012569675322,tt0032904
012569675346,tt0045537
012569675353,tt0052618
012569675360,tt0032138
012569675377,tt0031210
012569675391,tt0035140
012569675971,tt0069005
012569676015,tt0033870
012569676695,tt0052618
012569676817,tt0038355
012569676848,tt0040506
012569676855,tt0024264
012569676862,tt0037382
012569677050,tt0032138
012569677142,tt0029942
012569677166,tt0037595
012569677425,tt0058404
012569677913,tt0088889
012569678484,tt0025028
012569678545,tt0024034
012569678576,tt0039035
012569678606,tt0048216
012569678972,tt0042451
012569679214,tt0061578
012569679498,tt0027407
012569680005,tt0031381
012569681125,tt0356470
012569681132,tt0361309
012569681453,tt0274298
012569682122,tt0363282
012569682146,tt0379713
012569682153,tt0106965
012569682160,tt0106701
012569682177,tt0109279
012569682191,tt0331632
012569683228,tt0048028
012569688711,tt0078607
012569688728,tt0073453
012569688858,tt0078607
012569690424,tt0027652
012569690509,tt0373889
012569690578,tt0384810
012569691124,tt0089893
012569691223,tt0049223
012569691674,tt0078607
012569691681,tt0078607
012569691803,tt0078607
012569692251,tt0362526
012569692275,tt0047889
012569692428,tt0074958
012569693029,tt0038427
012569693371,tt0249082
012569693708,tt0094514
012569694385,tt0327554
012569694392,tt0327554
012569694446,tt0238784
012569694514,tt0106364
012569694552,tt0058230
012569694576,tt0191397
012569694583,tt0286788
012569694620,tt0360139
012569694644,tt0398872
012569694651,tt0295297
012569694668,tt0241527
012569694705,tt0327554
012569694712,tt0304141
012569695290,tt0405159
012569695344,tt0093692
012569695351,tt0075263
012569695801,tt0398872
012569696518,"tt0331632,tt0089218"
012569696525,"tt0331632,tt0089218"
012569696600,tt0212346
012569698420,tt0045537
012569698529,tt0051459
012569698741,tt0108778
012569699021,tt0032904
012569699748,tt0346491
012569699809,tt0344510
012569699854,tt0338348
012569699885,tt0338348
012569699977,tt0349903
012569700482,tt0338751
012569700543,tt0238784
012569700550,tt0238784
012569700703,tt0238784
012569700970,tt0070511
012569701021,tt0023042
012569701120,tt0087451
012569701359,tt0398375
012569701366,tt0398375
012569701380,tt0427392
012569701410,tt0338216
012569702998,tt0293508
012569703247,tt0112655
012569703308,tt0106258
012569704565,tt0346491
012569704770,tt0362359
012569704862,tt0108757
012569705395,tt0376105
012569705814,tt0113277
012569705913,tt0048028
012569705944,tt0062765
012569705968,tt0086066
012569705975,tt0120689
012569706859,tt0377818
012569706866,tt0238784
012569706958,tt0238784
012569707122,tt0238784
012569707221,tt0040308
012569707344,tt0212346
012569707412,tt0238784
012569707559,tt0362359
012569707689,tt0238784
012569709980,tt0405159
012569713161,tt0118688
012569713178,tt0112462
012569713390,tt0372784
012569713413,tt0078607
012569713444,tt0078607
012569713574,tt0360486
012569713710,tt0096895
012569714229,tt0067992
012569715189,tt0366627
012569715400,tt0344510
012569716599,"tt0103776,tt0096895,tt0112462,tt0118688"
012569717251,tt0233298
012569717275,tt0106364
012569718005,tt0106452
012569718012,tt0113010
012569718043,tt0118002
012569718074,tt0105466
012569718081,tt0144640
012569718111,tt0086355
012569718579,tt0360486
012569718715,tt0163579
012569720893,tt0385307
012569720909,tt0385307
012569721678,tt0366450
012569721685,tt0366450
012569722101,tt0081505
012569722606,tt0385307
012569722613,tt0385307
012569722675,"tt0095174,tt0100404"
012569723511,tt0348150
012569723573,tt0460793
012569723849,tt0405159
012569725898,tt0460793
012569726949,tt0078607
012569727045,tt0078607
012569727137,tt0078607
012569727250,tt0078607
012569727267,tt0078607
012569727465,tt0078607
012569727748,tt0412253
012569727755,tt0412253
012569728639,tt0397065
012569730595,tt0106057
012569731448,tt0165859
012569731462,tt0111187
012569732162,tt0372784
012569732445,tt0081470
012569732452,tt0094332
012569732469,tt0077228
012569732476,tt0068762
012569732483,tt0097570
012569734012,tt0074119
012569734050,tt0094321
012569734371,tt0460793
012569734746,tt0054135
012569734876,"tt0403508,tt0360139"
012569735156,tt0326835
012569736061,tt0449086
012569736078,tt0449086
012569736573,tt0428803
012569736580,tt0409182
012569736597,tt0409182
012569736603,tt0434409
012569736610,tt0434409
012569736627,tt0416449
012569736634,tt0416449
012569736658,tt0377818
012569736672,tt0452624
012569736689,tt0429589
012569736696,tt0429589
012569736702,tt0444682
012569736726,tt0410297
012569736733,tt0410297
